city,elevation,rainfall,mean_daily_high_temperature,mean_daily_low_temperature,population_density,latitude,longitude
san francisco,52.0,22.89,64.1,51.3,18634.65,37.7775,-122.41639
redondo beach,62.0,13.76,70.6,54.4,12000.0,33.85806,-118.37889
los angeles,233.0,,74.8,56.8,8205.0,34.05,-118.25
orange,190.0,13.84,76.0,52.0,5452.49,33.80306,-117.8325
newport beach,10.0,9.43,68.2,57.3,1600.0,33.61667,-117.8975
la jolla,,12.77,72.0,56.0,,32.84,-117.27694
san diego,,9.79,70.9,58.5,4255.96,32.715,-117.1625
long beach,52.0,12.02,73.9,55.9,9205.96,33.76833,-118.19556
solana beach,72.0,11.39,70.0,54.0,3700.0,32.99528,-117.26028
carlsbad,52.0,11.84,69.2,55.8,3038.02,33.12194,-117.29694
rancho palos verdes,220.0,,,,3082.69,33.75833,-118.36417
san gabriel,420.0,15.67,76.7,55.3,9626.8,34.1028167,-118.0996917
woodland hills,,16.41,81.6,50.9,,34.16833,-118.605
fullerton,164.0,11.86,76.4,56.0,6411.0,33.88,-117.92861
covina,558.0,18.06,76.0,55.0,7286.53,34.09167,-117.87917
la canada flintridge,1188.0,21.09,77.0,51.8,2384.17,34.207721,-118.206979
canoga park,797.0,17.32,80.0,48.0,,34.20111,-118.59722
monterey,26.0,17.11,63.1,48.8,2500.0,36.60306,-121.89361
stockton,13.0,14.8,76.7,49.4,4900.0,37.97556,-121.30083
santa barbara,49.0,18.98,71.9,53.2,4546.92,34.417,-119.7
santa cruz,36.0,30.63,69.7,47.6,4000.0,36.97194,-122.02639
danville,358.0,25.14,70.8,47.9,2410.78,37.82167,-122.0
poway,515.0,13.55,73.0,52.0,1200.0,32.97,-117.03861
diamond bar,696.0,17.32,78.3,52.0,3703.56,34.00167,-117.82083
ventura,36.0,,71.3,50.8,3400.0,34.275,-119.22778
foster city,7.0,19.1,68.7,48.5,8947.22,37.55139,-122.26639
south san francisco,16.0,19.64,66.9,50.6,7185.33,37.65,-122.417
anaheim,157.0,,78.8,56.5,6899.22,33.83611,-117.88972
west hollywood,282.0,13.12,74.0,54.0,19000.0,34.0879806,-118.3709694
fremont,56.0,15.94,69.2,49.9,2600.0,,
santa clara,72.0,14.49,71.0,46.0,6982.0,37.35444,-121.96917
san mateo,46.0,19.11,68.6,48.5,8711.0,37.55417,-122.31306
orinda,495.0,30.53,69.1,47.3,1500.0,37.88278,-122.17972
encinitas,82.0,12.16,72.0,54.0,3100.0,33.04444,-117.27167
yorba linda,381.0,13.53,78.0,56.0,3400.0,33.889,-117.813
gilroy,200.0,19.77,74.3,46.1,3576.18,37.01194,-121.58
hayward,105.0,16.0,68.5,50.8,2500.0,37.66882,-122.080796
garden grove,89.0,,,,9558.08,33.77889,-117.96028
west hills,900.0,,,,,34.204,-118.629
aptos,108.0,,,,1013.07,36.98139,-121.9075
norco,640.0,14.3,80.0,51.0,1920.03,33.93111,-117.54861
granite bay,410.0,20.45,74.0,50.0,980.0,38.76,-121.17139
hermosa beach,26.0,13.2,70.6,55.6,14000.0,33.86639,-118.39972
goleta,20.0,17.25,69.2,49.4,4100.0,34.44056,-119.81361
lakewood,46.0,,,,8700.0,33.8475,-118.12
capitola,13.0,31.53,68.0,47.3,6234.63,36.97639,-121.95472
brea,361.0,,25.0,13.0,3889.3,33.92333,-117.88889
pacific grove,151.0,17.49,63.3,48.3,5257.8,36.61778,-121.91667
redwood city,20.0,19.02,70.4,48.3,2400.0,37.48278,-122.23611
morgan hill,350.0,21.68,,,3500.0,37.13056,-121.65444
oxnard,52.0,12.93,69.2,53.3,7616.4,34.19139,-119.1825
soquel,33.0,,,,2200.0,36.98694,-121.94556
daly city,335.0,,,,13734.09,37.68639,-122.46833
venice,10.0,13.89,69.1,55.5,12324.0,33.99083,-118.45917
laguna niguel,400.0,,,,4400.0,33.53194,-117.7025
san bruno,20.0,19.94,65.2,49.3,7799.2,37.62528,-122.42528
encino,774.0,17.24,79.0,50.0,,34.15917,-118.50028
carpinteria,33.0,18.98,68.5,50.8,5125.19,34.39917,-119.51639
santa clarita,1207.0,15.3,77.9,52.4,3232.0,34.42,-118.52
placentia,272.0,,,,7748.49,33.8825,-117.855
glendale,522.0,17.17,77.0,54.0,6450.4,34.14611,-118.255
cupertino,236.0,,71.3,45.5,5300.0,37.32306,-122.03194
los alamitos,23.0,,,,2900.0,33.80222,-118.06444
calabasas,928.0,17.77,80.0,54.0,1695.43,34.13833,-118.66083
monterey park,384.0,,,,7776.49,34.04917,-118.13556
seal beach,13.0,13.14,74.0,55.0,2100.0,33.75917,-118.0825
santa paula,279.0,17.38,75.2,48.3,5543.76,34.35583,-119.06833
fresno,308.0,10.99,76.3,53.7,4722.6,36.75,-119.767
san jose,82.0,,71.2,50.2,5684.69,37.33611,-121.89056
signal hill,148.0,,,,5217.6,33.79935,-118.16558
valencia,,,,,,34.42,-118.6
castaic,1280.0,,,,2607.68,34.49,-118.62
van nuys,217.0,13.42,78.9,54.3,,34.1866722,-118.4487417
fontana,1237.0,14.77,81.0,53.8,4838.47,34.1,-117.467
riverside,827.0,9.39,79.5,53.0,3877.85,33.94806,-117.39611
bakersfield,404.0,6.36,78.2,54.2,2700.0,35.37333,-119.01889
tehachapi,3970.0,11.44,67.4,41.7,1281.87,35.13222,-118.44889
clovis,361.0,,,,4657.95,36.82528,-119.70306
prunedale,92.0,,,,410.0,36.77583,-121.66972
salinas,52.0,15.38,68.5,47.1,7000.0,36.67778,-121.65556
marina,43.0,,,,2510.0,36.68444,-121.80222
seaside,33.0,17.89,64.7,47.8,3627.3,36.61111,-121.84472
woodside,387.0,28.47,75.1,44.6,460.0,37.42083,-122.25972
bonny doon,1476.0,,,,173.16,37.04361,-122.13694
lodi,35.0,,74.8,47.8,4955.71,38.12889,-121.28083
tracy,52.0,12.37,75.2,51.7,3600.0,37.73806,-121.43389
ontario,1004.0,11.64,79.5,54.1,3507.0,34.05278,-117.62778
sanger,371.0,,,,4600.0,36.70806,-119.55583
cypress,39.0,,,,7583.7,33.81833,-118.03917
