price,lotSize,livingArea,hasGarage,hasAttachedProperty,hasView,hasHOA,AnnualHOAFee,fullBathrooms,halfBathrooms,bedrooms,city,homeType,propertyTaxRate,yearBuilt,hasHomeWarranty,latitude,longitude,elevation,mean_daily_high_temperature,mean_daily_low_temperature,rainfall,population_density,park,motorway,supermarket,Costco
1500000,5767.0,1413.0,True,False,False,True,7584.0,2,1,2,san francisco,CONDO,1.18,2009,False,37.757065,-122.38886,52.0,64.1,51.3,22.89,18634.65,174.11936940000345,317.50195102581296,1462.1338888440596,2429.183636378725
1675000,2501.0,1892.0,True,False,True,False,0.0,2,1,3,redondo beach,SINGLE_FAMILY,1.16,1988,False,33.86051,-118.381226,62.0,70.6,54.4,13.76,12000.0,244.3019243237352,3751.007507891109,736.1803640086217,4379.59528398877
1170000,1433.0,1440.0,True,True,True,True,4344.0,2,1,3,newport beach,TOWNHOUSE,1.07,1963,False,33.62827,-117.93019,10.0,68.2,57.3,9.43,1600.0,376.8158688948644,2433.458251138813,1072.5421282283482,8357.13003291401
2475000,5022.0,2897.0,True,False,True,False,0.0,3,0,3,los angeles,SINGLE_FAMILY,1.16,1928,False,34.104156,-118.365524,522.0,77.0,54.0,17.17,8205.0,948.2395237456844,2878.467283361218,709.4119872488345,9754.38986799934
1600000,6493.0,1493.0,True,True,True,True,10800.0,2,0,2,la jolla,CONDO,1.17,2004,False,32.846115,-117.276566,,72.0,56.0,12.77,,265.3984848893271,2554.4384429896427,460.5517277236127,5524.348606225362
2221711,8150.0,2557.0,True,False,True,False,0.0,3,1,4,los angeles,SINGLE_FAMILY,1.16,1950,False,34.126614,-118.36026,522.0,77.0,54.0,17.17,8205.0,1064.789117502551,925.0190733530584,1653.299607676726,7385.866498820917
2050000,4503.0,2163.0,True,False,True,False,0.0,3,0,4,san diego,SINGLE_FAMILY,1.17,1989,False,32.957314,-117.22014,,70.9,58.5,9.79,4255.96,501.1308491320896,1568.8355382735117,1191.077370442765,13657.423301506376
1500000,2973.0,2701.0,True,False,True,False,0.0,0,0,5,long beach,MULTI_FAMILY,1.16,1928,False,33.762012,-118.13621,52.0,73.9,55.9,12.02,9205.96,109.99624597849132,2955.935413657423,1041.0026292776388,5283.9714721765
1280000,16066.0,2076.0,True,False,True,False,0.0,2,0,3,woodland hills,SINGLE_FAMILY,1.16,1964,False,34.174812,-118.65816,,81.6,50.9,16.41,,1558.1622156951278,2364.5167314829964,2230.0393639507024,5224.867194781104
1360000,5134.0,2559.0,True,False,True,True,1980.0,2,1,4,fullerton,SINGLE_FAMILY,1.07,2000,False,33.89694,-117.90997,164.0,76.4,56.0,11.86,6411.0,757.8139834946952,2666.4716873118214,188.27815989802136,3988.759215849988
1770000,4415.0,2447.0,True,True,True,True,5220.0,2,1,3,rancho palos verdes,SINGLE_FAMILY,1.16,1988,False,33.743275,-118.39106,89.0,71.9,54.1,13.64,3082.69,332.49459555404763,9116.081610771267,1591.7455515248212,8818.414507164782
1220000,6669.0,1387.0,True,True,True,False,0.0,2,0,3,woodland hills,SINGLE_FAMILY,1.16,1957,False,34.17648,-118.64248,,81.6,50.9,16.41,,1749.233308733451,1916.481242914221,1427.0869812112664,3786.9703757830175
1725000,6442.0,3152.0,True,False,True,False,0.0,2,1,4,la canada flintridge,SINGLE_FAMILY,1.16,1949,False,34.206318,-118.22153,1188.0,77.0,51.8,21.09,2384.17,380.69036407509816,255.75734189768696,82.6959364357893,9436.772020733431
1770000,4295.0,1966.0,False,False,True,False,0.0,3,0,5,los angeles,SINGLE_FAMILY,1.16,1950,False,33.98977,-118.427284,522.0,77.0,54.0,17.17,8205.0,732.3390638286759,894.2666437647024,1059.4026551692612,1869.8025321643804
1256000,9434.0,1859.0,True,False,True,False,0.0,3,0,4,canoga park,SINGLE_FAMILY,1.16,1984,False,34.21301,-118.643654,797.0,80.0,48.0,17.32,,165.75747210754415,5650.890268682175,1062.304028316095,4732.858298279707
2300000,7483.0,2182.0,True,False,True,False,0.0,2,0,3,los angeles,SINGLE_FAMILY,1.16,1958,False,34.12182,-118.36083,522.0,77.0,54.0,17.17,8205.0,1417.0538162878245,1371.6418542337306,2130.556868839704,7888.4124544902525
1100000,7644.0,2428.0,True,False,True,False,0.0,4,0,5,canoga park,SINGLE_FAMILY,1.16,2013,False,34.224754,-118.59129,797.0,80.0,48.0,17.32,,779.0632879426872,5413.560388041129,1452.7851719059445,3834.1130662452656
2300000,9718.0,3269.0,True,False,True,False,0.0,2,0,3,la canada flintridge,SINGLE_FAMILY,1.16,1945,False,34.195667,-118.17998,1188.0,77.0,51.8,21.09,2384.17,1925.2700845369093,301.55030518773583,911.8366649073932,10702.104800823994
1823000,9147.0,1678.0,True,False,False,False,0.0,2,0,2,santa barbara,SINGLE_FAMILY,1.07,1966,False,34.448242,-119.73908,49.0,71.9,53.2,18.98,4546.92,457.4217253822417,1714.7528566364156,1045.8938987715308,12653.831247244068
1710000,13535.0,1936.0,True,False,True,False,0.0,1,1,4,la canada flintridge,SINGLE_FAMILY,1.16,1967,False,34.211273,-118.21763,1188.0,77.0,51.8,21.09,2384.17,125.1588984788781,357.21463151091893,725.3037549437142,10087.205712014356
2000000,11200.0,2706.0,False,False,False,True,5616.0,2,1,4,danville,SINGLE_FAMILY,1.16,1985,False,37.820683,-121.917564,358.0,70.8,47.9,25.14,2410.78,2846.878601823462,6546.850024474939,2163.8094775902746,6470.665808907136
1400000,6300.0,1958.0,True,False,True,False,0.0,2,1,4,san diego,SINGLE_FAMILY,1.17,1974,False,32.94599,-117.111626,,70.9,58.5,9.79,4255.96,440.36946708143,315.50951771829386,1506.869216846583,5574.70998799657
1430000,6157.0,1588.0,True,False,True,False,0.0,2,0,3,san diego,SINGLE_FAMILY,1.17,1986,False,32.94573,-117.13097,,70.9,58.5,9.79,4255.96,462.9527647589517,887.8119743092749,1469.927978891235,6770.61208756007
1803500,5279.0,2289.0,True,False,True,True,1284.0,3,0,4,san diego,SINGLE_FAMILY,1.17,1998,False,32.93485,-117.08351,,70.9,58.5,9.79,4255.96,403.368449694539,2527.879597493085,1400.521813941296,4727.488522944715
2150000,2622.0,2130.0,False,True,True,False,0.0,2,1,4,san francisco,SINGLE_FAMILY,1.18,1912,False,37.745384,-122.435425,52.0,64.1,51.3,22.89,18634.65,193.14718086967164,1489.704077692043,369.59741787222686,3511.2627477827373
1125000,6367.0,2421.0,True,False,True,False,0.0,2,0,3,long beach,SINGLE_FAMILY,1.16,1924,False,33.82602,-118.17553,52.0,73.9,55.9,12.02,9205.96,694.651834114519,1306.580012388625,1101.5835401265292,2729.9023135621123
1206000,16575.0,2033.0,True,False,True,True,480.0,3,0,5,diamond bar,SINGLE_FAMILY,1.16,1966,False,34.02848,-117.79656,696.0,78.3,52.0,17.32,3703.56,198.09743295294655,85.51486494825691,1384.8049920389064,5322.274973747418
1242000,5625.0,1200.0,True,False,True,False,0.0,1,0,2,ventura,SINGLE_FAMILY,1.1,1948,False,34.283024,-119.27773,52.0,69.2,53.3,12.93,3400.0,301.4684003175849,1224.5992586077775,804.3900039516559,13521.517252599342
